2020-07-19T04:03:39:1408 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T04:18:39:1483 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T04:33:39:1516 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T04:48:39:1545 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T06:00:38:2431 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T06:15:38:2452 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T06:30:38:2482 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T06:45:38:2499 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T07:00:38:2513 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T07:15:38:2525 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T07:30:38:2544 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T07:45:38:2571 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T08:01:53:9424 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T08:16:53:9456 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T08:31:53:9468 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T08:46:53:9507 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T09:01:53:9535 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T09:16:53:9577 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T09:31:53:9614 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T09:46:53:9666 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T10:01:53:9676 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T10:16:53:9689 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T10:31:53:9723 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T10:46:53:9760 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T11:01:53:9796 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T11:16:53:9810 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T11:31:53:9823 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T11:46:53:9835 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T12:01:53:9853 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T12:16:53:9880 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T12:31:53:9919 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T14:44:39:9072 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T14:59:39:9100 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T15:14:39:9383 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T15:29:39:9420 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T15:44:39:9451 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-19T15:59:39:9474 | 16  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
