2020-07-05T04:02:01:3337 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T04:17:01:3503 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T04:32:01:3516 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T04:47:01:3584 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T05:02:01:3683 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T05:17:01:3741 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T05:32:01:3820 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T05:47:01:3843 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T08:02:02:8566 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T08:17:02:8787 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T08:32:02:8866 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T08:47:02:8877 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T09:02:02:8911 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-07-05T09:17:02:8958 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
