2020-04-07T04:07:44:0253 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T04:22:44:0303 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T04:37:44:0335 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T04:52:44:0354 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T05:07:44:0393 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T05:22:44:0401 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T05:37:44:0497 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T05:52:44:0518 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T06:07:44:0572 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T06:22:44:0635 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T06:37:44:0666 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T06:52:44:0755 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T07:07:44:0777 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T07:22:44:0824 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T07:37:44:0863 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T07:52:44:0937 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T08:07:44:1011 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-04-07T08:22:44:1042 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
