2020-01-16T01:27:22:2093 | 1   | INFO    | App(7812) | --> ===============================================================================  
2020-01-16T01:27:22:2260 | 1   | INFO    | App(7812) | --> ==================================== START ====================================  
2020-01-16T01:27:22:2265 | 1   | INFO    | App(7812) | --> ===============================================================================  
2020-01-16T01:27:22:2274 | 1   | INFO    | App(7812) | --> Detector instance is launching with no arguments... 
2020-01-16T01:27:22:2274 | 1   | INFO    | App(7812) | --> Detector is now running... 
2020-01-16T01:27:22:2324 | 1   | INFO    | App(7812) | --> Application Path: [%LOCALAPPDATA%\BlueJeans\current\BlueJeans.Detector.exe] 
2020-01-16T01:27:22:2324 | 1   | INFO    | App(7812) | --> Current Working Directory: [C:\windows\system32] 
2020-01-16T01:27:22:2334 | 1   | INFO    | App(7812) | --> Product Name: [BlueJeans.Detector] 
2020-01-16T01:27:22:2334 | 1   | INFO    | App(7812) | --> Product Version: [2.18.39] 
2020-01-16T01:27:22:2362 | 1   | WARN    | App(7812) | --> Application location [C:\Users\micha\AppData\Local\BlueJeans\current] and current working directory [C:\windows\system32] are not the same... 
2020-01-16T01:27:22:2372 | 1   | INFO    | App(7812) | --> Current working directory is now C:\Users\micha\AppData\Local\BlueJeans\current 
2020-01-16T01:27:22:2478 | 1   | INFO    | DetectorService(7812) | --> Application Path: [C:\Users\micha\AppData\Local\BlueJeans\current\BlueJeans.Detector.exe] 
2020-01-16T01:27:22:3125 | 1   | INFO    | Detector(7812) | --> Detector service is preparing to run... 
2020-01-16T01:27:22:3135 | 1   | ERROR   | Detector(7812) | --> Can't get show menulet setting from registry
Error message:The specified registry key does not exist. 
2020-01-16T01:27:22:3135 | 1   | INFO    | Application State | --> ReadStateFromAsyncStorage started 
2020-01-16T01:27:22:3208 | 5   | INFO    | Watcher(7812) | --> CrashingEventWaitHandle created for role Role.Detector 
2020-01-16T01:27:22:3218 | 1   | INFO    | Detector Utilities (7812) | --> DirectoryPath = C:\Users\micha\AppData\Local\BlueJeans\current 
2020-01-16T01:27:22:3228 | 1   | INFO    | Detector Utilities (7812) | --> keyAppPath = HKEY_CURRENT_USER 
2020-01-16T01:27:22:3228 | 1   | INFO    | Detector Utilities (7812) | --> key = HKEY_CURRENT_USER\Software\Classes\bjnb\shell\open\command 
2020-01-16T01:27:22:3277 | 1   | INFO    | Application State | --> Get Current State from AsyncStorage, folderPath: C:\Users\micha\AppData\Local\BlueJeans\BlueJeans\2.18.39 
2020-01-16T01:27:22:3357 | 6   | INFO    | Detector(7812) | --> Detector role, webserver starting. PID=7812 
2020-01-16T01:27:22:5288 | 1   | INFO    | Application State | --> User's data changed: refetch scheduled meetings 
2020-01-16T01:27:22:5346 | 1   | INFO    | ScheduledMeetingsListener | --> Get BJN Scheduled Meetings 
