2020-01-19T05:37:20:4698 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-19T05:52:20:4739 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-20T00:10:25:4966 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-20T00:25:25:5007 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-20T00:40:25:5101 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-20T00:55:25:5112 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-20T01:10:25:5175 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-20T01:25:25:5199 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-20T01:40:23:5048 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
2020-01-20T01:55:23:5090 | 10  | INFO    | ScheduledMeetingsListener | --> Re-sync meetings after timeout 
